"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SAOUHSC_T00057",-0.154860412924332,13.0953420339263,-0.371685139677683,0.711204783888689,0.861439852605135,-6.77982775346489
"SAOUHSC_T00052",-0.219716017993796,9.02250637850662,-0.35401353468253,0.724349990186734,0.861439852605135,-6.43704394638106
"SAOUHSC_R0006",0.148327623951694,16.8868345793939,0.3235137254062,0.74723188768888,0.861439852605135,-6.70797107196226
"SAOUHSC_T00058",0.145018140433186,10.2316384957261,0.301977706427284,0.763528359345272,0.861439852605135,-6.66860238978031
"SAOUHSC_T0004",0.117473249903967,11.7042726151959,0.296478581955618,0.767707119639069,0.861439852605135,-6.84604433563914
"SAOUHSC_T00041",-0.120159614113388,12.2185356529026,-0.286358731897426,0.775415105713009,0.861439852605135,-6.84407362842126
"SAOUHSC_R0007",0.129237578565229,16.8662972953407,0.281560073021215,0.779078061897022,0.861439852605135,-6.72093168494354
"SAOUHSC_T00020",0.196585461341062,7.77172088167434,0.265464698644274,0.791400298880082,0.861439852605135,-6.28640095155174
"SAOUHSC_R0009",0.120509345739266,17.1175104072134,0.261720615085482,0.794274451293795,0.861439852605135,-6.72369096119858
"SAOUHSC_R00010",0.118483703808412,17.1214113793414,0.257974139466453,0.797153296440572,0.861439852605135,-6.72462966267916
"SAOUHSC_R0008",0.109890066414945,16.7927923961978,0.239235936789277,0.81159354608615,0.863123295044,-6.73281236634816
"SAOUHSC_T00059",0.18214125161086,5.31052060658634,0.192106322803715,0.848192714810507,0.88795174831725,-6.03656936455692
"SAOUHSC_T00028",-0.0511032951150877,8.1624940948425,-0.075513161768666,0.940013142917746,0.968936624238292,-6.36906574749894
"SAOUHSC_T00019",0.0393603422564831,5.43334820561405,0.0420862499377321,0.96654492837952,0.981189548506483,-6.06437351210025
"SAOUHSC_T00029",0.00128415620017929,13.2345835791347,0.00296390776429513,0.997643238025261,0.997643238025261,-6.84163941915274
